Schema	Schema URI	Schema Prefix	Class	Parent Class	Label	Alternative Labels	Mappings	Attribute Name	Description	Data Type	Limits	Comment
>schema	id	default_prefix	class	is_a	title	aliases	exact_mappings	slot	description	range	cardinality	comments
GA4GH-VA-Spec	https://w3id.org/ga4gh-va	vaspec										
			Element		Element		FHIR:Element		The base definition for all elements that comprise the model (classes, complex data types, value sets) 			This class is useful to reference as the range of attributes that can take instances of a class or a complex data type (e.g. a Coding) as their value (e.g. Statement.object)
			Element					extensionElement	A key-value data structure that allows definition of custom fields to capture information not directly supported by the VA specification.	Extension	0..*	The VA-Spec provides  implementers the ability to extend any model elements with new attributes using this flexible Extension element.
			Entity	Element	Entity	Thing	BFO:0000001		Anything that exists, has existed, or will exist.			This is the root class of the model - all other classes descend and inherit from it.
			Entity				FHIR:id	localId	The 'logical' identifier of the entity in the system of record, e.g. a UUID.  This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system.	identifier	1..1	FHIR naming conventions are followed here, where an 'id' field holds logical identifiers which are unique only within a given system, and an 'identifier' field holds business identifiers, which are globally unique and used to connect entities and share content across systems. 
			Entity				FHIR:identifier	globalIdentifier	A 'business' identifier or accession number for the entity, typically as provided by an external system or authority, that is globally unique and persists across implementing systems.	identifier	0..*	FHIR naming conventions are followed here, where an 'id' field holds logical identifiers which are unique only within a given system, and an 'identifier' field holds business identifiers, which are globally unique and used to connect entities and share content across systems. 
			Entity					type	The schema class that is instantiated by the data object.  Must be the name of a class from the VA schema.	class	1..1	
			Entity					label	A primary name for the Entity.	string	0..1	
			Entity					alternativeLabel	An alternative name for the Entity.	string	0..*	
			Entity					description	A free text description of the Entity.	string	0..1	
			Entity					hasURL	The URL/web address of a digital resource representing the entity, or providing information about it.	url	0..*	
			Entity					reference	A document or other Information Entity that describes the Entity.	InformationEntity	0..*	
			Entity					xref	A cross-reference that links to database identifiers of an entity that represents the same or a closely related concept or knowledge as the Entity.	string 	0..*	Preferred values for this field are CURIEs or URLs for database records
			Entity					thisRecordMeta	A reusable structure that encapsulates provenance metadata that applies to this concrete record/encoding of information about the Entity.	RecordMetadata	0..1	Record-level metadata applies to a specific concrete encoding/serialization of knowledge  (e.g as a record in a specific database, or an online digital resource). A RecordMetadata object can capture provenance and other metadata, including when, how, and by whom a specific record was generated or modified; what upstream resources it was derived/retrieved from; and record-level administrative information such as versioning and system / lifecycle status.
			Entity					sourceRecordMeta	A reusable structure that encapsulates provenance metadata that applies to an upstream data record about the Entity, from which content of the present record was derived. 	RecordMetadata	0..*	The 'sourceRecordMeta' attribute holds a RecordMetadata object that carries information about a separate, upstream source record from which the present record derived its content.  This attribute is only used in edge cases where the data creator wants to caopture metadata about usptream source records.
			InformationEntity	Entity	Information Entity	Information Content Entity, ICE	IAO:0000030 | FRBR:Work		An abstract (non-physical) entity that is about something.			Information Entities represent the abstract 'information content' encoded in physical or digital artifacts such as books, photographs, files, web pages, the neural connections of a human brain, etc. They are independent of any specific language, representational format, or physical/digital medium. In the FRBR model, this corresponds to the 'Works' level of representation. 
			InformationEntity					isAbout	An entity or concept in the world that the information entity describes/is about.	Entity	0..*	
